Nº óbitos	População	CEP da ilha	Nº recuperados	Nº de vacinados	Data
877	652029	21	3716	599416	14-04-2024
58	287989	15	1170	107102	25-12-2024
968	52329	15	2288	35488	18-08-2024
311	981525	21	3761	106898	16-03-2025
998	334082	22	4211	145037	19-07-2024
578	607388	25	3290	274536	22-01-2025
797	841699	11	934	167685	08-06-2024
711	200288	24	2739	184507	10-08-2024
730	457612	20	1121	262652	18-08-2024
458	126633	21	3350	121833	05-04-2024
402	514801	17	4085	471396	29-06-2024
286	292951	19	3575	114884	22-04-2024
69	340486	12	3594	166860	13-02-2025
801	492320	22	3712	59778	08-10-2024
186	917705	28	2421	818512	05-08-2024
882	957397	25	1347	246280	23-12-2024
512	502369	25	4508	50010	18-12-2024
681	661745	17	2121	445537	10-09-2024
596	498149	14	4772	346203	28-07-2024
527	153692	12	4072	18219	05-04-2024
888	166968	29	508	40971	30-01-2025
585	969091	27	3450	657007	03-01-2025
112	676267	19	3159	426524	05-09-2024
98	121975	30	2914	61659	20-10-2024
940	29458	21	1916	8765	28-08-2024
758	113007	19	1352	68819	16-01-2025
694	801649	27	2960	301127	20-05-2024
762	470862	30	3940	5022	09-02-2025
325	918501	21	622	892720	15-07-2024
265	434318	22	2698	369408	26-01-2025
134	309465	21	2299	269388	05-12-2024
223	933097	24	4045	882994	12-10-2024
380	737391	21	3811	603643	27-10-2024
835	517680	29	2000	290853	22-11-2024
914	57235	20	2354	1686	27-04-2024
560	941645	28	3374	861925	07-05-2024
350	661768	26	96	450962	26-06-2024
300	16851	25	1269	12297	26-09-2024
229	529476	23	1467	101676	10-03-2025
269	809679	28	2139	95930	27-08-2024
680	139799	17	4501	35728	28-12-2024
282	330208	28	615	108998	30-05-2024
391	963608	20	2193	633396	12-04-2024
221	243959	13	4558	163516	06-08-2024
290	656267	25	2209	339430	06-08-2024
736	469441	16	492	247751	04-09-2024
868	661497	19	3315	635868	26-03-2025
205	324123	15	3123	135150	07-02-2025
807	135967	16	866	108003	21-12-2024
237	216791	19	2307	162333	05-05-2024
179	149803	24	3704	147516	02-04-2025
598	980367	16	701	378196	21-01-2025
616	592485	30	2647	155754	07-09-2024
761	188951	19	676	144375	15-03-2025
915	481806	25	2406	89759	17-09-2024
238	821776	17	4883	449733	17-11-2024
980	396967	29	2559	84044	21-08-2024
66	439719	14	2	397352	03-06-2024
493	984779	14	2446	957225	11-04-2024
85	276751	14	1846	74645	05-10-2024
42	289033	21	4714	226318	06-03-2025
944	892480	18	4711	176092	28-06-2024
885	681434	25	2801	253370	15-11-2024
874	489369	28	821	146946	19-05-2024
